,# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,sp
434,GCF_001245615.1,PRJNA224116,SAMEA3481574,CWKH00000000.1,representative genome,146018,146018,Mycolicibacterium neworleansense,strain=ATCC 49404T,,latest,Contig,Major,Full,2015/07/26,Mycobacterium neworleansense assembly 1,URMITE,GCA_001245615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/245/615/GCF_001245615.1_Mycobacterium_neworleansense_assembly_1,,assembly from type material,na,Mycolicibacterium_neworleansense
47,GCF_002013555.1,PRJNA224116,SAMN05186796,MAFP00000000.1,na,83262,83262,Mycobacteroides immunogenum,strain=MC 779,,latest,Contig,Major,Full,2017/03/03,ASM201355v1,LNCC,GCA_002013555.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/013/555/GCF_002013555.1_ASM201355v1,,assembly from type material,na,Mycobacteroides_immunogenum
423,GCF_002101815.1,PRJNA224116,SAMN04216942,LQPM00000000.1,representative genome,767916,767916,Mycobacterium paraense,strain=IEC26,,latest,Contig,Major,Full,2017/04/20,ASM210181v1,University of Trento,GCA_002101815.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/815/GCF_002101815.1_ASM210181v1,,assembly from type material,na,Mycobacterium_paraense
425,GCF_002101785.1,PRJNA224116,SAMN04216940,LQPJ00000000.1,representative genome,153971,153971,Mycobacterium palustre,strain=DSM 44572,,latest,Contig,Major,Full,2017/04/20,ASM210178v1,University of Trento,GCA_002101785.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/785/GCF_002101785.1_ASM210178v1,,assembly from type material,na,Mycobacterium_palustre
74,GCF_002101775.1,PRJNA224116,SAMN04216939,LQPI00000000.1,representative genome,1782,1782,Mycolicibacter nonchromogenicus,strain=DSM 44164,,latest,Contig,Major,Full,2017/04/20,ASM210177v1,University of Trento,GCA_002101775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/775/GCF_002101775.1_ASM210177v1,,assembly from type material,na,Mycolicibacter_nonchromogenicus
37,GCF_001792625.1,PRJNA224116,SAMN03068290,JRMG00000000.1,na,1962118,36809,Mycobacteroides abscessus subsp. massiliense,strain=CIP 108297,,latest,Contig,Major,Full,2016/10/19,ASM179262v1,Institut Pasteur,GCA_001792625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/792/625/GCF_001792625.1_ASM179262v1,,assembly from type material,na,Mycobacteroides_massiliense
429,GCF_001044245.1,PRJNA224116,SAMN02952053,JYNU00000000.1,na,1807,1807,Mycolicibacterium obuense,strain=DSM 44075,,latest,Contig,Major,Full,2015/07/01,ASM104424v1,Uppsala University,GCA_001044245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/044/245/GCF_001044245.1_ASM104424v1,,assembly from type material,na,Mycolicibacterium_obuense
22910,GCF_000696775.1,PRJNA224116,SAMN02756837,AWNJ00000000.1,na,1160712,1764,Mycobacterium avium subsp. hominissuis 3388,strain=3388,,latest,Contig,Major,Full,2014/06/02,Maq reference guided assembly,Oregon State University,GCA_000696775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/775/GCF_000696775.1_Maq_reference_guided_assembly,,,na,Mycobacterium_hominissuis
22909,GCF_000696755.1,PRJNA224116,SAMN02756839,AUZP00000000.1,na,1402967,1764,Mycobacterium avium subsp. hominissuis 101,strain=101,,latest,Contig,Major,Full,2014/06/02,MAV101 WGS assembly,Oregon State University,GCA_000696755.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/755/GCF_000696755.1_MAV101_WGS_assembly,,,na,Mycobacterium_hominissuis
22908,GCF_000696735.1,PRJNA224116,SAMN02756838,AUZT00000000.1,na,1402966,1764,Mycobacterium avium subsp. hominissuis 100,strain=100,,latest,Contig,Major,Full,2014/06/02,Maq reference guided assembly,Oregon State University,GCA_000696735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/735/GCF_000696735.1_Maq_reference_guided_assembly,,,na,Mycobacterium_hominissuis
22907,GCF_000696715.1,PRJNA224116,SAMN02756836,AUZQ00000000.1,na,1160711,1764,Mycobacterium avium subsp. hominissuis A5,strain=A5,,latest,Contig,Major,Full,2014/06/02,Maq reference guided assembly,Oregon State University,GCA_000696715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/715/GCF_000696715.1_Maq_reference_guided_assembly,,,na,Mycobacterium_hominissuis
4178,GCF_000240465.1,PRJNA224116,SAMN02472020,AGAO00000000.1,na,1078005,1764,Mycobacterium avium subsp. paratuberculosis Env 210,strain=Env 210,,latest,Contig,Major,Full,2011/12/29,ASM24046v2,University of Wisconsin- Madison,GCA_000240465.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/465/GCF_000240465.1_ASM24046v2,,,na,Mycobacterium_paratuberculosis
522,GCF_002086345.1,PRJNA224116,SAMN06064246,MVHX00000000.1,na,701042,701042,Mycobacterium marseillense,strain=DSM 45437,,latest,Contig,Major,Full,2017/04/11,ASM208634v1,San Raffaele Scientific Institute,GCA_002086345.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/345/GCF_002086345.1_ASM208634v1,,assembly from type material,na,Mycobacterium_marseillense
532,GCF_017876775.1,PRJNA224116,SAMN17673454,JAGIOP000000000.1,representative genome,1641992,1641992,Mycolicibacterium lutetiense,strain=DSM 46713,,latest,Contig,Major,Full,2021/04/08,ASM1787677v1,DOE Joint Genome Institute,GCA_017876775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/876/775/GCF_017876775.1_ASM1787677v1,,assembly from type material,na,Mycolicibacterium_lutetiense
144,GCF_000234585.1,PRJNA224116,SAMN02471087,AGVE00000000.1,na,1078020,1797,Mycolicibacterium thermoresistibile ATCC 19527,strain=ATCC 19527,,latest,Contig,Major,Full,2011/11/07,ASM23458v1,Texas A&M University,GCA_000234585.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/585/GCF_000234585.1_ASM23458v1,,assembly from type material,na,Mycolicibacterium_thermoresistibile
496,GCF_002086275.1,PRJNA224116,SAMN06064242,MVHT00000000.1,na,28445,28445,Mycobacterium intermedium,strain=DSM 44049,,latest,Contig,Major,Full,2017/04/11,ASM208627v1,San Raffaele Scientific Institute,GCA_002086275.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/275/GCF_002086275.1_ASM208627v1,,assembly from type material,na,Mycobacterium_intermedium
495,GCF_002101705.1,PRJNA224116,SAMN04216933,LQPC00000000.1,representative genome,912594,912594,Mycolicibacterium iranicum,strain=DSM 45541,,latest,Contig,Major,Full,2017/04/20,ASM210170v1,University of Trento,GCA_002101705.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/705/GCF_002101705.1_ASM210170v1,,assembly from type material,na,Mycolicibacterium_iranicum
67,GCF_002102395.1,PRJNA224116,SAMN04216956,LQPZ00000000.1,representative genome,1798,1798,Mycolicibacillus trivialis,strain=DSM 44153,,latest,Contig,Major,Full,2017/04/20,ASM210239v1,University of Trento,GCA_002102395.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/395/GCF_002102395.1_ASM210239v1,,assembly from type material,na,Mycolicibacillus_trivialis
462,GCF_025821505.1,PRJNA224116,SAMN15569005,JACKSB000000000.1,na,265949,265949,Mycobacterium pseudoshottsii,strain=DSM 45108,,latest,Contig,Major,Full,2022/10/24,ASM2582150v1,Uppsala University,GCA_025821505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/821/505/GCF_025821505.1_ASM2582150v1,,assembly from type material,na,Mycobacterium_pseudoshottsii
463,GCF_900566075.1,PRJNA224116,SAMEA4938324,UPHU00000000.1,representative genome,2341080,2341080,Mycobacterium pseudokansasii,strain=MK142,,latest,Contig,Major,Full,2018/11/01,MK142,CHUV-UNIL,GCA_900566075.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/566/075/GCF_900566075.1_MK142,,assembly from type material,na,Mycobacterium_pseudokansasii
464,GCF_019710635.1,PRJNA224116,SAMN17081024,JAIFZS000000000.1,representative genome,2796469,2796469,Mycolicibacterium xanthum,strain=Y57,,latest,Contig,Major,Full,2021/08/21,ASM1971063v1,Guangxi Academy of Science,GCA_019710635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/710/635/GCF_019710635.1_ASM1971063v1,,assembly from type material,na,Mycolicibacterium_xanthum
69,GCF_002102265.1,PRJNA224116,SAMN04216937,LQPG00000000.1,representative genome,1108812,1108812,Mycolicibacter longobardus,strain=DSM 45394,,latest,Contig,Major,Full,2017/04/20,ASM210226v1,University of Trento,GCA_002102265.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/265/GCF_002102265.1_ASM210226v1,,assembly from type material,na,Mycolicibacter_longobardus
467,GCF_025823105.1,PRJNA224116,SAMN15568926,JACKVC000000000.1,representative genome,39693,39693,Mycolicibacterium porcinum,strain=DSM 44242,,latest,Contig,Major,Full,2022/10/24,ASM2582310v1,Uppsala University,GCA_025823105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/823/105/GCF_025823105.1_ASM2582310v1,,assembly from type material,na,Mycolicibacterium_porcinum
63,GCF_002104795.1,PRJNA224116,SAMN06651658,NCXO00000000.1,na,1069220,1069220,Mycolicibacillus koreensis,strain=KCTC 19819,,latest,Contig,Major,Full,2017/04/21,ASM210479v1,San Raffaele Scientific Institute,GCA_002104795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/104/795/GCF_002104795.1_ASM210479v1,,assembly from type material,na,Mycolicibacillus_koreensis
474,GCF_002102345.1,PRJNA224116,SAMN04216946,LQPP00000000.1,na,43304,43304,Mycolicibacterium peregrinum,strain=DSM 43271,,latest,Contig,Major,Full,2017/04/20,ASM210234v1,University of Trento,GCA_002102345.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/345/GCF_002102345.1_ASM210234v1,,assembly from type material,na,Mycolicibacterium_peregrinum
473,GCF_002086675.1,PRJNA224116,SAMN06064255,MVIF00000000.1,na,1487726,1487726,Mycobacterium persicum,strain=AFPC-000227,,latest,Contig,Major,Full,2017/04/11,ASM208667v1,San Raffaele Scientific Institute,GCA_002086675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/675/GCF_002086675.1_ASM208667v1,,assembly from type material,na,Mycobacterium_persicum
498,GCF_025821415.1,PRJNA224116,SAMN15569009,JACKRX000000000.1,na,33895,33895,Mycobacterium interjectum,strain=DSM 44064,,latest,Contig,Major,Full,2022/10/24,ASM2582141v1,Uppsala University,GCA_025821415.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/821/415/GCF_025821415.1_ASM2582141v1,,assembly from type material,na,Mycobacterium_interjectum
453,GCF_002086695.1,PRJNA224116,SAMN06064257,MVIH00000000.1,representative genome,36814,36814,Mycolicibacterium rhodesiae,strain=DSM 44223,,latest,Contig,Major,Full,2017/04/11,ASM208669v1,San Raffaele Scientific Institute,GCA_002086695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/695/GCF_002086695.1_ASM208669v1,,assembly from type material,na,Mycolicibacterium_rhodesiae
57,GCF_000559085.1,PRJNA224116,SAMN02585141,JALN00000000.2,representative genome,1440774,318425,Mycolicibacterium aromaticivorans JS19b1 = JCM 16368,strain=JS19b1,,latest,Contig,Major,Full,2014/05/19,ASM55908v2,Kyungpook National University,GCA_000559085.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/559/085/GCF_000559085.1_ASM55908v2,,assembly from type material,na,Mycolicibacterium_aromaticivorans
440,GCF_002591975.1,PRJNA224116,SAMN07606483,NVQE00000000.1,representative genome,242737,242737,Mycobacterium neglectum,strain=CECT 8778,,latest,Contig,Major,Full,2017/10/19,ASM259197v1,Northumbria University,GCA_002591975.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/975/GCF_002591975.1_ASM259197v1,,assembly from type material,na,Mycobacterium_neglectum
525,GCF_002086335.1,PRJNA224116,SAMN06064245,MVHW00000000.1,na,560555,560555,Mycobacterium mantenii,strain=DSM 45255,,latest,Contig,Major,Full,2017/04/11,ASM208633v1,San Raffaele Scientific Institute,GCA_002086335.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/335/GCF_002086335.1_ASM208633v1,,assembly from type material,na,Mycobacterium_mantenii
441,GCF_002102255.1,PRJNA224116,SAMN04216938,LQPH00000000.1,na,244292,244292,Mycobacterium nebraskense,strain=DSM 44803,,latest,Contig,Major,Full,2017/04/20,ASM210225v1,University of Trento,GCA_002102255.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/255/GCF_002102255.1_ASM210225v1,,assembly from type material,na,Mycobacterium_nebraskense
443,GCF_010722995.1,PRJNA224116,SAMD00153185,BLKT00000000.1,representative genome,182220,182220,Mycolicibacterium murale,strain=JCM 13392,,latest,Contig,Major,Full,2020/02/06,ASM1072299v1,"Department of Infection Metagenomics, Osaka University",GCA_010722995.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/722/995/GCF_010722995.1_ASM1072299v1,,assembly from type material,na,Mycolicibacterium_murale
517,GCF_002245535.1,PRJNA224116,SAMN07269029,NKCN00000000.1,na,2048550,2048550,Mycobacterium lehmannii,strain=CECT 8763,,latest,Contig,Major,Full,2017/08/10,ASM224553v1,Northumbria University,GCA_002245535.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/245/535/GCF_002245535.1_ASM224553v1,,assembly from type material,na,Mycobacterium_lehmannii
54,GCF_002013895.1,PRJNA224116,SAMN05186797,MAFQ00000000.1,na,948102,948102,Mycobacteroides franklinii,strain=CV002,,latest,Contig,Major,Full,2017/03/03,ASM201389v1,LNCC,GCA_002013895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/013/895/GCF_002013895.1_ASM201389v1,,assembly from type material,na,Mycobacteroides_franklinii
513,GCF_002101735.1,PRJNA224116,SAMN04216935,LQPE00000000.1,na,487514,487514,Mycobacterium kyorinense,strain=DSM 45166,,latest,Contig,Major,Full,2017/04/20,ASM210173v1,University of Trento,GCA_002101735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/735/GCF_002101735.1_ASM210173v1,,assembly from type material,na,Mycobacterium_kyorinense
512,GCF_003254575.1,PRJNA224116,SAMN09281965,QJUA00000000.1,representative genome,2212479,2212479,Mycobacterium kyogaense,strain=NCTC 11659,,latest,Contig,Major,Full,2018/06/18,ASM325457v1,Newcastle University,GCA_003254575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/575/GCF_003254575.1_ASM325457v1,,assembly from type material,na,Mycobacterium_kyogaense
502,GCF_900566055.1,PRJNA224116,SAMEA4938327,UPHQ00000000.1,representative genome,2341083,2341083,Mycobacterium innocens,strain=MK13,MK13,latest,Contig,Major,Full,2018/11/01,LAUMK13,CHUV-UNIL,GCA_900566055.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/566/055/GCF_900566055.1_LAUMK13,,assembly from type material,na,Mycobacterium_innocens
451,GCF_002101845.1,PRJNA224116,SAMN04216947,LQPQ00000000.1,na,486698,486698,Mycobacterium riyadhense,strain=DSM 45176,,latest,Contig,Major,Full,2017/04/20,ASM210184v1,University of Trento,GCA_002101845.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/845/GCF_002101845.1_ASM210184v1,,assembly from type material,na,Mycobacterium_riyadhense
6,GCF_002013835.1,PRJNA224116,SAMN05186795,MAFO00000000.1,na,319705,36809,Mycobacteroides abscessus subsp. bolletii,strain=BD,,latest,Contig,Major,Full,2017/03/03,ASM201383v1,LNCC,GCA_002013835.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/013/835/GCF_002013835.1_ASM201383v1,,assembly from type material,na,Mycobacteroides_bolletii
2,GCF_000174035.1,PRJNA224116,SAMN02470543,ACFI00000000.1,na,553481,1764,Mycobacterium avium subsp. avium ATCC 25291,strain=ATCC 25291,,latest,Contig,Major,Full,2009/01/27,ASM17403v1,McGill University,GCA_000174035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/035/GCF_000174035.1_ASM17403v1,,assembly from type material,na,Mycobacterium_avium
422,GCF_025822865.1,PRJNA224116,SAMN15568937,JACKUR000000000.1,representative genome,53378,53378,Mycobacterium paraffinicum,strain=DSM 44181,,latest,Contig,Major,Full,2022/10/24,ASM2582286v1,Uppsala University,GCA_025822865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/822/865/GCF_025822865.1_ASM2582286v1,,assembly from type material,na,Mycobacterium_paraffinicum
386,GCF_900566085.1,PRJNA224116,SAMEA4938330,UPHT00000000.1,na,2341086,2341086,Mycobacterium attenuatum,strain=MK41,MK41,latest,Contig,Major,Full,2018/11/01,LAUMK41,CHUV-UNIL,GCA_900566085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/566/085/GCF_900566085.1_LAUMK41,,assembly from type material,na,Mycobacterium_attenuatum
419,GCF_025821585.1,PRJNA224116,SAMN15569002,JACKSE000000000.1,na,659824,659824,Mycolicibacterium hippocampi,strain=DSM 45391,,latest,Contig,Major,Full,2022/10/24,ASM2582158v1,Uppsala University,GCA_025821585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/821/585/GCF_025821585.1_ASM2582158v1,,assembly from type material,na,Mycolicibacterium_hippocampi
107,GCF_002102355.1,PRJNA224116,SAMN04216950,LQPT00000000.1,representative genome,243061,243061,Mycobacterium sherrisii,strain=ATCC BAA-832,,latest,Contig,Major,Full,2017/04/20,ASM210235v1,University of Trento,GCA_002102355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/355/GCF_002102355.1_ASM210235v1,,assembly from type material,na,Mycobacterium_sherrisii
287,GCF_027886095.1,PRJNA224116,SAMN32724494,ANBN00000000.1,na,1122247,46351,Mycolicibacterium hassiacum DSM 44199,strain=DSM 44199,,latest,Contig,Major,Full,2023/01/17,ASM2788609v1,Uppasala Univeristy & Jawaharlal Nehru University,GCA_027886095.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/886/095/GCF_027886095.1_ASM2788609v1,,assembly from type material,na,Mycolicibacterium_hassiacum
110,GCF_000805385.1,PRJNA224116,SAMN01174788,JTJW00000000.1,na,431269,431269,Mycolicibacterium setense,strain=DSM 45070,,latest,Contig,Major,Full,2014/12/19,ASM80538v1,IMPPC (Institute of Predictive and Personalized Medicine of Cancer ),GCA_000805385.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/385/GCF_000805385.1_ASM80538v1,,assembly from type material,na,Mycolicibacterium_setense
259,GCF_004014805.1,PRJNA224116,SAMN10734567,ATDN00000000.1,na,1335622,81858,Mycolicibacterium elephantis DSM 44368,strain=DSM 44368,,latest,Contig,Major,Full,2019/01/14,ASM401480v1,Uppsala University,GCA_004014805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/014/805/GCF_004014805.1_ASM401480v1,,assembly from type material,na,Mycolicibacterium_elephantis
258,GCF_001667535.1,PRJNA224116,SAMN04696136,LZHS00000000.1,representative genome,81858,81858,Mycolicibacterium elephantis,strain=852002-10318_SCH4845932,,latest,Contig,Major,Full,2016/06/17,ASM166753v1,JCVI,GCA_001667535.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/535/GCF_001667535.1_ASM166753v1,,,na,Mycolicibacterium_elephantis
256,GCF_002086115.1,PRJNA224116,SAMN06064232,MVHJ00000000.1,representative genome,564198,564198,Mycolicibacterium bacteremicum,strain=DSM 45578,,latest,Contig,Major,Full,2017/04/11,ASM208611v1,San Raffaele Scientific Institute,GCA_002086115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/115/GCF_002086115.1_ASM208611v1,,assembly from type material,na,Mycolicibacterium_bacteremicum
118,GCF_002086735.1,PRJNA224116,SAMN06064259,MVIJ00000000.1,representative genome,1783,1783,Mycobacterium scrofulaceum,strain=DSM 43992,,latest,Contig,Major,Full,2017/04/11,ASM208673v1,San Raffaele Scientific Institute,GCA_002086735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/735/GCF_002086735.1_ASM208673v1,,assembly from type material,na,Mycobacterium_scrofulaceum
248,GCF_004014795.1,PRJNA224116,SAMN10734566,ATDQ00000000.1,na,1335619,85968,Mycolicibacterium brumae DSM 44177,strain=DSM 44177,,latest,Contig,Major,Full,2019/01/14,Mbrumae.v1,Uppsala University,GCA_004014795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/014/795/GCF_004014795.1_Mbrumae.v1,,assembly from type material,na,Mycolicibacterium_brumae
246,GCF_002101555.1,PRJNA224116,SAMN04216915,LQOL00000000.1,representative genome,228230,228230,Mycolicibacterium canariasense,strain=CCUG 47953,,latest,Contig,Major,Full,2017/04/20,ASM210155v1,University of Trento,GCA_002101555.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/555/GCF_002101555.1_ASM210155v1,,assembly from type material,na,Mycolicibacterium_canariasense
292,GCF_011758805.1,PRJNA224116,SAMN12024888,JAANOW000000000.1,na,258505,258505,Mycolicibacterium fluoranthenivorans,strain=DSM 44556,,latest,Contig,Major,Full,2020/03/26,ASM1175880v1,DOE Joint Genome Institute,GCA_011758805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/758/805/GCF_011758805.1_ASM1175880v1,,assembly from type material,na,Mycolicibacterium_fluoranthenivorans
242,GCF_001552315.1,PRJNA224116,SAMD00046518,BCQY00000000.1,representative genome,1303685,37916,Mycolicibacterium chlorophenolicum JCM 7439 = NBRC 15527,strain=NBRC 15527,,latest,Contig,Major,Full,2016/02/03,ASM155231v1,National Institute of Technology and Evaluation,GCA_001552315.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/552/315/GCF_001552315.1_ASM155231v1,,assembly from type material,na,Mycolicibacterium_chlorophenolicum
301,GCF_002101585.1,PRJNA224116,SAMN04216923,LQOT00000000.1,representative genome,188915,188915,Mycolicibacter engbaekii,strain=ATCC 27353,,latest,Contig,Major,Full,2017/04/20,ASM210158v1,University of Trento,GCA_002101585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/585/GCF_002101585.1_ASM210158v1,,assembly from type material,na,Mycolicibacter_engbaekii
93,GCF_002104765.1,PRJNA224116,SAMN06651660,NCXM00000000.1,representative genome,547163,547163,Mycolicibacterium vulneris,strain=DSM 45247,,latest,Contig,Major,Full,2017/04/21,ASM210476v1,San Raffaele Scientific Institute,GCA_002104765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/104/765/GCF_002104765.1_ASM210476v1,,assembly from type material,na,Mycolicibacterium_vulneris
340,GCF_007714205.1,PRJNA224116,SAMN12187686,VMQU00000000.1,na,2592811,2592811,Mycobacterium helveticum,strain=16-83,,latest,Contig,Major,Full,2019/07/30,ASM771420v1,IRCCS San Raffaele,GCA_007714205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/714/205/GCF_007714205.1_ASM771420v1,,assembly from type material,na,Mycobacterium_helveticum
94,GCF_002250655.1,PRJNA224116,SAMN07372526,NOZR00000000.1,representative genome,1786,1786,Mycolicibacterium sphagni,strain=ATCC 33027,,latest,Contig,Major,Full,2017/08/14,ASM225065v1,San Raffaele Scientific Institute,GCA_002250655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/250/655/GCF_002250655.1_ASM225065v1,,assembly from type material,na,Mycolicibacterium_sphagni
330,GCF_002086595.1,PRJNA224116,SAMN06064237,MVHO00000000.1,na,1800,1800,Mycolicibacterium chubuense,strain=DSM 44219,,latest,Contig,Major,Full,2017/04/11,ASM208659v1,San Raffaele Scientific Institute,GCA_002086595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/595/GCF_002086595.1_ASM208659v1,,assembly from type material,na,Mycolicibacterium_chubuense
96,GCF_029222015.1,PRJNA224116,SAMN32669029,JARCBW000000000.1,na,1772,1772,Mycolicibacterium smegmatis,strain=ATCC 19420,,latest,Contig,Major,Full,2023/03/15,ASM2922201v1,Aberystwyth University,GCA_029222015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/222/015/GCF_029222015.1_ASM2922201v1,,assembly from type material,na,Mycolicibacterium_smegmatis
325,GCF_002102065.1,PRJNA224116,SAMN04216919,LQOP00000000.1,representative genome,451644,451644,Mycolicibacterium conceptionense,strain=CCUG 50187,,latest,Contig,Major,Full,2017/04/20,ASM210206v1,University of Trento,GCA_002102065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/065/GCF_002102065.1_ASM210206v1,,assembly from type material,na,Mycolicibacterium_conceptionense
315,GCF_000613185.1,PRJNA224116,SAMEA3138996,CCBB000000000.1,representative genome,258533,258533,Mycolicibacterium cosmeticum,strain=DSM 44829,,latest,Contig,Major,Full,2014/03/20,PRJEB5748_assembly_1,URMITE,GCA_000613185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/613/185/GCF_000613185.1_PRJEB5748_assembly_1,,assembly from type material,na,Mycolicibacterium_cosmeticum
312,GCF_002104675.1,PRJNA224116,SAMN06651657,NCXP00000000.1,representative genome,1430326,1430326,Mycobacterium decipiens,strain=TBL 1200985,,latest,Contig,Major,Full,2017/04/21,ASM210467v1,San Raffaele Scientific Institute,GCA_002104675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/104/675/GCF_002104675.1_ASM210467v1,,assembly from type material,na,Mycobacterium_decipiens
300,GCF_002102155.1,PRJNA224116,SAMN04216924,LQOU00000000.1,na,761804,761804,Mycobacterium europaeum,strain=DSM 45397,,latest,Contig,Major,Full,2017/04/20,ASM210215v1,University of Trento,GCA_002102155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/155/GCF_002102155.1_ASM210215v1,,assembly from type material,na,Mycobacterium_europaeum
136,GCF_001942625.1,PRJNA224116,SAMN05897976,MLCL00000000.1,representative genome,1908205,1908205,Mycobacterium syngnathidarum,strain=27335,,latest,Contig,Major,Full,2017/01/11,ASM194262v1,University of Georgia,GCA_001942625.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/942/625/GCF_001942625.1_ASM194262v1,,assembly from type material,na,Mycobacterium_syngnathidarum
139,GCF_002102415.1,PRJNA224116,SAMN04216955,LQPY00000000.1,representative genome,47839,47839,Mycobacterium triplex,strain=DSM 44626,,latest,Contig,Major,Full,2017/04/20,ASM210241v1,University of Trento,GCA_002102415.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/415/GCF_002102415.1_ASM210241v1,,assembly from type material,na,Mycobacterium_triplex
